nodeID_from,nodeID_to,year,line,weight
263,264,2008,line12,1
264,265,2008,line12,1
68,185,2008,unknown,1
262,263,2008,line12,1
30,31,2008,line1,1
185,74,2008,line4,1
74,75,2008,line4,1
215,216,2008,unknown,1
63,64,2008,line3,1
208,209,2008,line9,1
209,210,2008,line9,1
31,32,2008,line1,1
32,33,2008,line1,1
268,269,2008,line12,1
207,208,2008,line9,1
67,69,2008,unknown,1
69,70,2008,line4,1
66,67,2008,line3,1
123,124,2008,line3,1
123,124,2008,line6,1
70,71,2008,line4,1
210,211,2008,line9,1
211,212,2008,line9,1
255,256,2009,line12,1
256,257,2009,line12,1
257,258,2009,line12,1
258,259,2009,line12,1
254,255,2009,line12,1
