nodeID,nodeLabel,latitude,longitude,year
61,Hidalgo,19.437295,-99.147105,1970
62,HospitalGeneral,19.413578,-99.153886,1970
63,Impulsora,19.485851,-99.048915,2000
64,IndiosVerdes,19.495358,-99.119468,1979
65,InstitutodelPetroleo,19.489573,-99.14526,1982
66,Insurgentes,19.423292,-99.163177,1969
67,IsabellaCatolica,19.426732,-99.137685,1969
68,Iztacalco,19.388562,-99.112215,1994
69,Iztapalapa,19.357834,-99.093461,1994
70,Jamaica,19.409004,-99.122171,1982
71,Juanacatlan,19.41289,-99.182167,1970
72,Juarez,19.433167,-99.147792,1970
73,LaPaz,19.350526,-98.960745,1991
74,LaRaza,19.470153,-99.136891,1978
75,LaViga,19.406495,-99.126248,1994
76,LaVillaBasilica,19.481522,-99.117923,1986
77,Lagunilla,19.443386,-99.131334,1999
78,LazaroCardenas,19.40696,-99.144874,1987
79,Lindavista,19.487712,-99.13466,1986
80,LosReyes,19.358968,-98.976903,1991
81,MartinCarrera,19.484921,-99.104404,1981
82,Merced,19.425558,-99.124639,1969
83,MiguelAngeldeQuevedo,19.346395,-99.18103,1983
84,Misterios,19.463315,-99.130797,1982
85,Mixcoac,19.375891,-99.187531,1985
86,Mixiuhca,19.408478,-99.112902,1987
87,Moctezuma,19.427218,-99.110305,1969
88,Morelos,19.438974,-99.118266,1981
89,Muzquiz,19.501629,-99.042048,2000
90,Nativitas,19.379474,-99.140217,1970
91,Nezahualcoyotl,19.473066,-99.054537,2000
92,NinosHeroes,19.419508,-99.150581,1970
93,Normal,19.4444,-99.1674,1970
94,Norte45,19.488683,-99.162769,1983
95,Obrera,19.413558,-99.144187,1994
96,Observatorio,19.398237,-99.200363,1971
97,Oceania,19.445672,-99.087238,1981
98,Olimpica,19.521328,-99.033422,2000
99,Panteones,19.458763,-99.203153,1984
100,Pantitlan,19.415359,-99.072132,1981
101,Patriotismo,19.406212,-99.178905,1988
102,PenonViejo,19.37332,-99.017093,1991
103,PinoSuarez,19.425336,-99.132943,1969
104,PlazaAragon,19.528447,-99.030118,2000
105,Polanco,19.433511,-99.191029,1984
106,Politecnico,19.50082,-99.149294,1982
107,Popotla,19.452147,-99.1747,1970
108,Portales,19.3698,-99.1416,1970
109,Potrero,19.47691,-99.132171,1979
110,Puebla,19.407142,-99.082432,1987
111,Refineria,19.469951,-99.190578,1988
112,Revolucion,19.439561,-99.155431,1970
113,RiodelosRemedios,19.490908,-99.046597,2000
114,RomeroRubio,19.440735,-99.094362,1999
115,SaltodelAgua,19.426813,-99.142213,1969
116,SanAntonioAbad,19.418597,-99.134145,1970
117,SanCosme,19.441706,-99.161096,1970
118,SanJoaquin,19.445793,-99.191823,1984
119,SanJuandeLetran,19.431305,-99.141569,1994
120,SanLazaro,19.430213,-99.114833,1969
121,SantaAnita,19.40273,-99.121699,1982
122,SantaMarta,19.36,-98.994863,1991
123,Sevilla,19.421916,-99.17058,1969
124,SnAntonio,19.384757,-99.186308,1985
125,SnPedrodelosPinos,19.391275,-99.186051,1985
126,Tacuba,19.459349,-99.189205,1970
