nodeID,nodeLabel,latitude,longitude,year
246,PuertadelSur,40.34553353,-3.811841853,2003
247,PlazaElíptica,40.38570458,-3.71767924,1998
248,Abrantes,40.38107402,-3.728055532,1998
249,PanBendito,40.37570163,-3.734282524,1998
250,SanFrancisco,40.37365478,-3.739870603,2006
251,CarabanchelAlto,40.37195486,-3.751951269,2006
252,LaPeseta,40.36317515,-3.757537439,2006
253,PuertadelSur,40.34553567,-3.811809662,2003
254,SanNicasio,40.33564702,-3.776148954,2003
255,LeganésCentral,40.32819282,-3.771283777,2003
256,HospitalSeveroOchoa,40.3212922,-3.768873108,2003
257,CasadelReloj,40.326722,-3.759555917,2003
258,JuliánBesteiro,40.33472317,-3.752267547,2003
259,ElCarrascal,40.33672796,-3.740302797,2003
260,ElBercial,40.3296833,-3.72995082,2003
261,LosEspartales,40.32422098,-3.718363272,2003
262,ElCasar,40.31855426,-3.709944684,2003
263,JuandelaCierva,40.31161553,-3.722594412,2003
264,GetafeCentral,40.30934447,-3.733594459,2003
265,AlonsodeMendoza,40.300847,-3.736320544,2003
266,Conservatorio,40.29337442,-3.745923604,2003
267,ArroyoCulebro,40.28896386,-3.756811075,2003
268,ParquedelosEstados,40.28689289,-3.787083,2003
269,FuenlabradaCentral,40.28289738,-3.800005838,2003
270,ParqueEuropa,40.28510184,-3.805962376,2003
271,HospitaldeFuenlabrada,40.28570573,-3.81656446,2003
272,Loranca,40.29710084,-3.837748,2003
273,ManuelaMalasaña,40.30968894,-3.8649269,2003
274,HospitaldeMóstoles,40.31624409,-3.874774465,2003
275,Pradillo,40.32181327,-3.864500986,2003
276,MóstolesCentral,40.32843455,-3.863638885,2003
277,UniversidadReyJuanCarlos,40.33470916,-3.872204771,2003
278,ParqueOeste,40.34602061,-3.84929327,2003
279,AlcorcónCentral,40.35016094,-3.83169126,2003
280,ParqueLisboa,40.34972081,-3.821576063,2003
281,Opera,40.41800834,-3.709306461,1925
282,PríncipePío,40.42061242,-3.720180707,1925
283,LasTablasML,40.50817388,-3.669155078,2007
284,PalasdeReyML,40.50554945,-3.665101565,2007
285,MaríaTudorML,40.4970706,-3.659052707,2007
286,BlascoIbáñesML,40.493617,-3.655765,2007
287,ÁlvarezdeVillaamilML,40.48910855,-3.651441228,2007
288,AntonioSauraML,40.48526843,-3.653644013,2007
289,VirgendelCortijoML,40.48741055,-3.661097652,2007
290,FuentedelaMoraML,40.48607614,-3.662972182,2007
291,PinardeChamartinML,40.48031864,-3.666988972,2007
292,ColoniaJardínML,40.39723799,-3.774492307,2007
293,PradodelaVegaML,40.40223725,-3.78116828,2007
294,ColoniadelosÁngelesML,40.40725689,-3.784447,2007
295,PradodelReyML,40.4108049,-3.787185629,2007
296,SomosaguasSurML,40.41391741,-3.791909844,2007
297,SomosaguasCentroML,40.41928544,-3.798778,2007
298,PozueloOesteML,40.42307353,-3.804644001,2007
299,BélgicaML,40.43059668,-3.807559,2007
300,DosCastillasML,40.43250631,-3.80174,2007
301,CampusdeSomosaguasML,40.4336254,-3.795187522,2007
302,AvenidadeEuropaML,40.43936253,-3.793079,2007
303,BernaML,40.44477405,-3.791174836,2007
304,EstacióndeAravacaML,40.44842817,-3.785573087,2007
305,ColoniaJardínML,40.39723799,-3.774492307,2007
306,CiudaddelaImagenML,40.3972258,-3.78427895,2007
307,JoséIsbertML,40.39536897,-3.789977,2007
308,CiudaddelCineML,40.39459942,-3.795354686,2007
